FY,APPL_ID,"PROJECT_NUM","ABSTRACT_TEXT","SP_CODE"
2013,8104056,"5 R01 HD056953-05","PROJECT SUMMARY For resource-limited settings, the World Health Organization recommends that HIV infected pregnant women who do not need treatment for their own health receive zidovudine (ZDV) from 28 weeks' gestation, with single dose nevirapine (NVP) at onset of labor and in infants at 48-72 hours of life for the prevention of mother to child transmission (PMTCT) of HIV. This regimen is safe and reduces the risk of transmission to ?2%, but it is associated with the selection of NVP resistance mutations in mothers and infected children. These mutations have been shown to diminish the efficacy of subsequent NVP based therapies. In industrialized countries, more complex regimens using highly active antiretroviral therapy (HAART) combinations during pregnancy also achieve very low transmission rates while avoiding the selection of resistance mutations to NVP. The study will compare in a multicenter, phase III, randomized controlled, clinical trial the efficacy, safety, and feasibility of a simple, affordable and potent combination of ZDV + lopinavir/ritonavir (LPV/r) from 28 weeks' gestation versus the regimen currently recommended by WHO in a non breastfeeding population. The specific objectives are to evaluate and compare between the two approaches: (1) the risk of HIV transmission (infant HIV status by DNA-PCR); (2) the incidence of clinically significant adverse events in women and infants, and the CD4 and viral load evolution in women; (3) the incidence of HIV resistance mutations. The pharmacokinetics of LPV/r in Thai pregnant women will also be assessed. If proved to be as efficacious and safe as the current WHO regimen for PMTCT, this regimen will provide an option to maintain a low risk of perinatal transmission and resolve the dilemma posed by NVP resistance mutations for both mothers and infected children, thereby preserving their future treatment options. The study will add a third arm to an NIH funded clinical trial, which evaluates another strategy to resolve the problem of NVP resistance mutations, i.e. ZDV from 28 weeks' gestation and infant only NVP compared to the WHO regimen (R01 HD 052461). This three arm clinical trial will follow 2097 consenting HIV-1 infected pregnant women with CD4 count >250/mm3 and their infants in a network of 43 Thai public hospitals up to 24 months after delivery (n=699 per arm including 5% non evaluable; alpha 5%; power: 80%; delta for non-inferiority testing: 1.5%).","6E"
2013,8209846,"1 R01 AI095041-01A1","DESCRIPTION (provided by applicant): Tuberculosis (TB) is the most common cause of death among people living with HIV. Diagnosing latent tuberculosis infection (LTBI) among HIV-infected patients is challenging, as the most commonly used test, the tuberculin skin test (TST), is out-dated, has poor sensitivity in HIV-infected and BCG vaccinated populations, and is operationally difficult to administer. The World Health Organization currently recommends that in regions where the TST can be implemented to detect LTBI, provision of preventive therapy is recommended only for HIV-infected patients with a positive TST. A new blood assay, Quantiferon TB Gold In-Tube (QGIT) test, has been recently approved by the US FDA for detecting LTBI, however relatively few published studies have evaluated this assay in HIV-infected patients and little information exists about the routine use of QGIT, i.e. test performance under routine clinical care conditions and optimal operationalization of this blood test. We propose a cluster randomized trial (CRT) to compare QGIT performance in HIV-infected persons attending public HIV clinics in Rio de Janeiro, Brazil with routine TST, and to determine if QGIT more quickly identifies HIV-infected patients who are latently infected and leads to faster initiation of TB preventive therapy. We will link QGIT testing with routine CD4 monitoring which will eliminate the burden of the routine clinic staff and minimally interfere with routine blood draws. Delays in TST and provision of isoniazid preventive therapy in Rio de Janeiro are extremely long, and risk of TB disease is quite high among HIV-infected patients waiting for a TST, thus a better strategy is needed. The specific aims of the study are 1) to compare the impact of linking QGIT with CD4 blood collection and the current standard of care process of TST in HIV clinics in Rio de Janeiro, Brazil on operational metrics, 2) to compare cost-effectiveness of implementing QGIT versus standard practice of TST, and 3) to explore attitudinal and operational factors influencing successful implementation of QGIT. Our primary focus on linking QGIT with routine CD4 blood draws is innovative and logical given the parameters of the test. These findings, in addition to conducting a structured process evaluation of the implementation of the intervention and determining the cost effectiveness of QGIT compared to TST will provide the best evidence to date comparing these two tests in an operational setting in a developing country, and guide dissemination and implementation of this strategy throughout Brazil and other regions where TST is ineffective at diagnosing latent infection in HIV- infected patients.","1C"
2013,8217664,"1 C06 OD011900-01","DESCRIPTION (provided by applicant): This application from California National Primate Research Center (CNPRC) located on the University of California (UC), Davis campus seeks to obtain federal funding in the amount of $895,800 through the Limited Competition: Extramural Research Facilities Improvement Program (C06) to construct overhead structures on four half-acre field corrals. The CNPRC has 24 half-acre field corrals that provide housing for the rhesus monkey breeding colony. Each of these field corrals houses approximately 150 animals. These animals are a long-term breeding resource and serve as a national resource for infants, juveniles, adults, and aged animals for use in biomedical research by investigators from throughout the United States. Twenty of the existing field cages at the CNPRC already have overhead structures to protect the animals from the heat in the summer and the rain in the winter. The proposed four field corrals were built in 2009 to expand production of animals for AIDS-related research and are in need of overhead structures. This project will construct four free-standing 19' high steel-frame canopy covers (similar to patio structures) over approximately one-quarter of a corresponding half-acre field corral, or 540 square feet. The structure will include steel framing, metal roofing, and concrete footings. The specific aims of the proposed project are to: enhance animal well-being and AIDS investigator access to healthy research animals; provide animals a dry area for eating and shelter from the rain in the winter and shade in the summer; address concerns that the lack of overhead structures could be a potential animal welfare concern; provide veterinary and technical staff a dry area to conduct routine animal health procedures and behavioral health assessments.","7B"
2013,8261790,"1 K22 AI098440-01","DESCRIPTION (provided by applicant): Currently, more than 33 million individuals are infected with human immunodeficiency virus (HIV) worldwide. HIV infection results in masive dysfunction of the immune system, particularly in mucosal tissues, which ultimately results in progression to Acquired Immunodeficiency Syndrome and death. During HIV infection, the integrity of the gastrointestinal (GI) tract is compromised, which allows microbial products to translocate from the lumen of the GI tract into circulation, which contributes to immune activation. Immune activation is the strongest predictor of disease progression during HIV infection, and is characterized by dysregulation of virtually every arm of the immune system. While many aspects of mucosal immune dysfunction after HIV infection have been described, the precise events which precipitate these events, and the mechanisms that underlie these dysfunctions are still unclear. In order to develop more effective therapeutic approaches aimed at restoring healthy mucosal immune function during HIV infection, a more complete understanding of mucosal immunity during HIV infection is needed. Thus, here we propose to evaluate both the kinetics and mechanisms by which the mucosal immune system is altered during acute Simian Immunodeficiency Virus (SIV) infection in rhesus macaques. We hypothesize that loss of essential homeostatic mucosal immune cells is the result of increased proinflammatory cells due to SIV replication in mucosal tissues. We will address this using two approaches- in the first aim, we will evaluate the kinetics by which damage to the GI tract and mucosal immune dysfunction occur during acute SIV infection. We hypothesize that increased inflammation after SIV infections results in loss of homeostatic immune cells, which in turn leads to damage to structural barrier of the GI tract. We will address this by evaluating the frequency and function of multiple mucosal immune cells ex vivo, and evaluating the damage to the tight epithelial barrier of the GI tract, microbial translocation and immune activation in vivo at multipe time points during acute SIV infection. This will allow a better understanding of temporal associations between dysfunctions in mucosal immunity after SIV infection to provide insight into cause and effect of each event. In the second aim, we will expand upon Aim I by determining the mechanisms underlying the mucosal dysfunctions that occur after SIV infection. We hypothesize that increased inflammation in mucosal tissues is the result of proliferation and/or increased homing of proinflammatory cells, and that this results in loss of cells that contribute to mucosal homeostasis due to loss in functionality and/or death. To address this, we will evaluate markers of proliferation, early activation, apoptosis, exhaustion, and homing of these cell subsets. Furthermore, we will use in vitro studies to assess whether we can alter the functions of mucosal immune cells based on our hypothesis that increased proinflammatory molecules after SIV infection abrogates homeostatic immune function in mucosal tissues. Taken together, these proposed studies will provide an in-depth assessment into how and why mucosal immune function is altered after SIV infection, and provide insight into developing novel therapeutic strategies for treatment of HIV infection.","2C"
2013,8263011,"1 R01 MH093257-01A1","DESCRIPTION (provided by applicant): AIDS stigma has long been recognized as a significant barrier in the worldwide fight against HIV. In India, as well as elsewhere, AIDS stigma  has repeatedly been shown, not only to inflict hardship and suffering on people with HIV, but also to interfere with decisions to seek HIV counseling and testing, limit HIV-infected individuals willingness to disclose their status to others, and to deter infected individuals from seeking and adhering to medical treatment for HIV-related problems. Members of marginalized groups often experience additional stigma, forcing them to hide their lifestyles and making it more difficult to  attend AIDS-related prevention and treatment programs. Although several stigma researchers have called for rigorously evaluated, theory-based stigma reduction interventions, few such programs are in place. Our proposed research aims to fill this gap. This collaborative application builds on findings from our decade-long collaborative research program in South India as well as on research conducted by the International Center for Research on Women (ICRW). Our data show that health professionals often represent a crucial source of AIDS stigma in India, highlighting the need to develop and test interventions in health care settings. ICRW has developed and implemented such an intervention, which has been found acceptable and feasible. A modified version reduced stigma among Indian nursing students in our pilot intervention. The efficacy of this promising intervention is now ready to be formally evaluated in a randomized controlled trial with nursing students and ward attendants; the two types of health care providers who showed the greatest levels of AIDS stigma in our preliminary work. In order for an intervention to have a significant and lasting impact, it also needs to be sustainable, and consider aspects such as staff time constraints. We thus propose to use an innovative delivery model to accomplish these goals: 1. Adapt the ICRW health care provider stigma reduction intervention for partial tablet PC-based delivery, using interactive touch screen methodology and video vignettes tailored to participant job type. 2. Conduct a cluster randomized controlled trial to evaluate the efficacy of this intervention in 24 institutions on a) the endorsement of coercive policies and intentions to discriminate toward HIV+ patients; b) instrumental and symbolic stigma; two factors which have been found to drive the manifestations of stigma in this setting.","5C"
2013,8263507,"1 R21 AI098599-01","DESCRIPTION (provided by applicant): We will assess peer change agent communication effectiveness through mathematical models that utilize change agent attribute and structural position parameters developed through existing digital communication networks. Peer change agent (PCA)-based HIV prevention programs capitalize on the phenomenon of peer influence and how members in social networks communicate with one another. PCA-based interventions are the most frequently used outreach HIV prevention interventions and have been widely implemented both domestically and internationally. Existing PCA-based interventions, however, have yielded disappointing results in international settings. The central postulate of this proposa is that the change agent can often be more important than the message itself. Oftentimes, the messages promoted by public health officials may be of limited interest to others, even to those at increased HIV risk. In fact, when messages are of limited interest, those at increased HIV risk will tend to focus more on who the change agent is. The selection of change agents based in whole or in part upon their structural position as measured by formal social network characterization is one approach to increase potency of peer influence: it has been successful in business organization-based interventions. It has not, however, been empirically tested in the public health realm. By adopting this methodology, this proposal moves beyond traditional peer outreach models. In addition to utilizing the structural network position of PCAs to enhance the diffusion of innovation, our model also parameterizes important attributes of PCAs, which are determined by primary data collection from a large network of men who have sex with men in South India. These PCA attributes include social status features, leadership and communication behavior, tie qualities with members of their network, and physical attributes. Previously we have developed an innovative approach to social network characterization in this setting that allows for augmented network characterization through the use of cell phone communication networks in high- risk men. We have field survey data collection expertise in India and experience with large scale social network data collection and analyses. We also have experience in diffusion of innovation analyses through social networks and utilizing mathematical models for determining diffusion of disease and/or information through networks of men who have sex with men (MSM). Thus we will model condom communication within the network using attributes generated from participant interviews and social network-generated structural positions. Candidate PCAs will be selected using three classes of algorithms: (1) attribute-based; (2) position- based; and (3) combined attribute- and position-based. Flow of condom information in the network will be explored using multiple stochastic models that address missing data and are parameterized using self- and peer-evaluation data. In future work, we will test how novel bio-behavioral prevention interventions, diffuse through a network facilitated by strategically selected peer change agents.","5A"
2013,8269960,"5 R01 DA031678-02","DESCRIPTION (provided by applicant): There is an urgent public health need to develop effective pharmacotherapies for methamphetamine (meth) dependence. Globally, use of amphetamines is more common than heroin and opioids, with an estimated 16 to 51 million users worldwide and 1.3 million users in the U.S. in 2007.1 Use of meth (rapidly metabolized in the bloodstream to amphetamine) is up to 20 times more prevalent among men who have sex with men (MSM) than in the general U.S. population, and is a major contributor to the continued HIV epidemic. 2-4 Meth use is independently associated with high-risk sexual behavior and HIV seroconversion.5-7 Effective meth treatments therefore will not only reduce meth use, they may also serve as important HIV prevention interventions by reducing meth-driven sexual risk behavior. The lack of FDA-approved pharmacotherapies for meth dependence has limited treatment to behavioral interventions which may benefit from additional adjunctive pharmacologic treatment.8, 9 Furthermore, many meth users, including MSM, do not seek conventional drug treatment, reinforcing the need to develop new treatment modalities.10 Naltrexone, a 5-opioid receptor antagonist, is a highly promising agent that has shown efficacy in reducing relapse of amphetamine use among amphetamine-dependent, yet currently amphetamine- abstinent heterosexuals.11 We propose to expand upon this promising work to determine whether naltrexone will reduce methamphetamine use among actively using, meth-dependent MSM with high-risk sexual behavior through a double-blinded randomized controlled trial of naltrexone versus placebo. We will focus on MSM because of the disproportionate and intertwining epidemics of meth use and HIV in this population. The primary specific aims of this study are: 1) To determine the efficacy of oral naltrexone versus placebo in reducing meth use among actively-using,  meth-dependent MSM with high-risk sexual behavior, as determined by the proportion of meth-  metabolite positive urines by study arm. 2) To determine the efficacy of oral naltrexone versus placebo in reducing meth-associated sexual risk  behavior as measured by: numbers of male anal sex partners, serodiscordant unprotected anal sex  partners, and numbers of sex partners with whom meth was used, by study arm. 3) To evaluate the safety and tolerability of oral naltrexone versus placebo, as determined by adverse  clinical event rates by study arm. 4) To determine the acceptability of oral naltrexone versus placebo by evaluating adherence via  medication event monitoring systems (MEMS) caps, urine ss-naltrexol, urine riboflavin, and self-report. We will enroll 100 sexually active, meth-dependent MSM who will be randomized 1:1 to receive naltrexone or placebo for 12 weeks. All participants will receive substance use counseling and HIV risk-reduction counseling.","5A,5D"
2013,8294450,"5 R01 HD061061-04","DESCRIPTION (provided by applicant): This application is submitted in response to Request for Applications RFA-HD-08-013,  Gender, Youth and HIV Risk (R01).  The broad, long-term objective of the proposed research is to develop and test the efficacy of a theory-based, culturally and contextually competent, and gender-specific behavioral intervention to reduce the risk of sexually transmitted diseases (STDs), including HIV, among African American young men 18 to 24 years of age. The Specific Aims are focused on testing the intervention's effects on sexual behavior and STD incidence and testing the mediation of effects of the intervention. African American young men have some of the highest rates of STDs among men in the United States. Efforts to reduce their risk of STD have been hampered by the lack of sexual risk-reduction interventions with solid evidence of efficacy and the inability to identify how to reach this population. We propose to test an intervention for this population in barbershops, which may be an excellent setting in which to engage African American young men in risk-reduction education. The design of the study is a cluster randomized controlled trial. We will stratify on key characteristics, barbershops in zip codes of Philadelphia, PA with the highest rates of AIDS and match them in pairs. We will randomly select 24 matched-pairs and within each pair, randomly assign the barbershops to one of two brief structurally similar small-group interventions led by a male barber facilitator: a 3-hour HIV/STD Risk-Reduction Intervention or a 3-hour violence prevention intervention that will serve as the control. We will enroll in the trial 24 men from each barbershop, for a total of 1,152 participants. Social cognitive theory, the theory of reasoned action/planned behavior, and the applicant's preliminary studies with the population will guide the development of the intervention. The primary outcomes are self-reported condom use, multiple sexual partners, unprotected sexual intercourse, and sexual intercourse assessed at baseline and 6- and 12-month follow-up via audio computer-assisted self-interviewing (ACASI). Secondary outcomes include STDs based on DNA amplification tests on urine specimens and theoretically relevant variables hypothesized to mediate intervention effects, including intentions, beliefs, and self-efficacy. The proposed research has great public health significance: about one-half the cases of HIV/AIDS worldwide are linked to sexual relations between men and women, but few randomized controlled trials have tested HIV/STD risk-reduction interventions specific to young men who have sex with women. This research will test the efficacy of such an intervention in one of the highest risk populations in the United States.","5A,5B"
2013,8302442,"5 R01 MH085527-04","DESCRIPTION (provided by applicant): Poor retention in medical care is one of the primary reasons people die of HIV/AIDS today. Modern HIV treatment has transformed this deadly infection into a treatable chronic condition. There are no proven interventions to better retain people in HIV primary care. Hospitalized patients with HIV infection are at high risk for poor retention in care. A single or dual session intervention is essential for most patients out of care, because any patient who could be recruited into a multi-session intervention could likely be recruited back into primary care. Our team has been researching retention in HIV care for over 7 years. Using the information-motivation-behavioral skills model as a framework, our data indicate that among patients recently diagnosed with HIV infection, access to HIV primary care is affected by critical information gaps regarding the availability of care and treatment, limited motivation related to poor coping strategies and low trust in the healthcare system, and weak behavior skills reflected in low self-efficacy and social support around adherence to HIV care. These factors result in poor ability to navigate the health care system and remain in HIV care. We have developed a structured, theory-based, Patient Mentor Program. The Patient Mentor Program was developed to improve retention into HIV primary care by increasing patient knowledge about HIV and the care system, increasing self-efficacy, and promoting active self-management. In a one- time interaction at the Thomas Street Health Center, volunteer patient mentors greet new patients who are arriving for their intake visit to the clinic, guide them through the intake visit and support them. In our preliminary, quasi-experimental data, 88% of patients who had a patient mentor during that intake visit completed a physician visit within the next 90 days, compared to 78% of patients who did not have a mentor (p<.001). These effects remained significant after adjusting for baseline demographic and clinical characteristics, and persisted into the 90-180 day interval after intake. We will test the efficacy of the TSHC patient mentor intervention in a 5-year randomized, controlled trial in 434 socio-economically and racially diverse HIV-infected patients hospitalized at Ben Taub General Hospital. We hypothesize that the intervention will meaningfully increase retention in HIV primary care after discharge compared to an attention control. Our Specific Aims are: 1) To test the efficacy of the patient mentor intervention on retention in HIV primary care after hospital discharge; 2) To test the efficacy of a patient mentor intervention on secondary outcomes that include health services use, health-related quality of life, and clinical outcomes; 3) To determine the mediating factors associated with response to the intervention, and the individual and system facilitators and barriers to retention in HIV primary care. This study addresses one of the most important challenges in HIV care today, i.e., expanding modern HIV treatment to all those in need, and may also impact race-based disparities in the health of people with HIV infection.","5C"
2013,8304396,"5 R01 DA025011-04","DESCRIPTION (provided by applicant): Club drugs are extensively used by young people with more popularity among gay community (men having sex with men; MSM). It has been established that HIV seroprevalence is higher among methamphetamine users and methamphetamine is known to contribute to HIV-associated dementia (HAD) among HIV-positive individuals. There are also indirect and suggestive indications available that methamphetamine affects the virus replication, prevalence and progression of disease. The prospect of testing proof-of-concept studies regarding the role of methamphetamine in HIV positive humans is untenable because of the variable incubation periods and long time required to address this important issue. Therefore a well-designed study in the macaque model of HIV/AIDS is greatly warranted that will help conclude the effect of methamphetamine abuse on lentivirus pathogenesis, neurological disorder and disease progression in relatively short time. We propose to address these issues in this application. The application proposes to (i) establish the SIV-SHIV/macaque model of chronic methamphetamine exposure and examine whether methamphetamine abuse accelerates the onset of AIDS in macaques, (ii) determine whether chronic methamphetamine exposure affects virus-specific cellular, humoral and mucosal immune responses in SIV- SHIV/macaque model of AIDS, (iii) determine whether METH and SHIV/SIV interaction causes enhanced neuropathological effects on the virus/host interaction in the brain and alterations in dopaminergic systems, and (iv) determine whether virus evolution is different in methamphetamine-exposed macaques compared to that in the control animals.","2B"
