PROJECT_NUMBER,ABSTRACT_TEXT1
1 F31 DA035709-01,"     DESCRIPTION: The HIV epidemic in the countries of the former Soviet Union continues to be a growing public health problem. Currently, it is the only region in the world where the incidence of  HIV does not appear to be declining. The epidemic is concentrated among injection drug users (IDUs), however there is increasing concern that the epidemic may shift to the non-drug using heterosexual population. Drug treatment in Russia is largely inadequate to meet the needs of the patient population. Treatment for opioid dependency in Russia suffers from a lack of effective therapies because opioid substitution therapy is illegal. Additionally, Russia has one of  the highest incarceration rates in the world. In St. Petersburg, the site of the proposed research,  half of those incarcerated were in prison due to drug offenses, a substantial fraction of those who met the criteria for opioid dependency. Due to weak linkages between incarceration facilities and the community, incarcerated IDUs upon release face a high risk of quickly resuming to opioid use, overdose or death, and engaging in risky injection practices. In this proposal, I will pursue a mixed methods approach to characterize the risk environment facing IDUs upon release from prison. Respondents will be recruited from a much larger parent study (R01DA029888). IDUs who have spent time incarcerated will be invited to participate in this study. For the quantitative component, we will inquire about the amount of time that elapsed from when the respondent was released from prison to when the respondent began using opioids again and whether they experienced an overdose after being released. This retrospective cohort analysis will be limited to respondents who have ever been incarcerated. We will identify factors in the respondents risk environment that may have facilitated relapse or overdose after release from prison. We hypothesize that the majority of respondents who have been incarcerated will have relapse to opioid use within a month of release. Our second analysis will focus on the prevalence and frequency of risky injections among respondents who have a history of incarceration and compare these data to respondents who have never been incarcerated. We hypothesize that IDUs who have been incarcerated will have engaged in more risky injections than IDUs who have never been incarcerated. Lastly, we will recruit respondents who have been incarcerated within two years for in-depth qualitative interviewing pertaining to their risk environment after release. The purpose of the qualitative analysis is to confirm and explain the findings from the quantitative components.          "
1 K02 DA035116-01A1,"     DESCRIPTION (provided by applicant): The primary goal of this resubmitted K02 application is to further develop Dr. Carrie Oser's productive independent research career and to augment her research focus on HIV, substance abuse treatment, crime, and health disparities by gaining new training on social networks and HIV intervention development. The K02 builds upon her focus on special populations, including both rural drug users and African American drug users. The proposed training goals will provide new instruction in social networks, HIV intervention development, and the responsible conduct of research. The specific aims are: (1) to identify HIV and HCV risk and longitudinal changes in risk in the social networks of 503 rural out-of-treatment drug using women, as compared to men; and (2) to examine the effect of social networks, including structure (e.g., size, density), function (e.g., emotional and instrument support), and content (e.g., attitudes towards physicians), on HIV and HCV risk behaviors and health services utilization among African American drug using women, as compared to men, across criminal justice status. This significant and innovative study will have strong public healt impacts and will support NIDA's Health Disparities Initiative because of its potential to contribut to our understanding of the cultural and social network correlates of health disparities among both rural and African American drug users. In addition, this study improves upon the methodological limitations of previous research findings by examining various social networks (e.g., egocentric, dyadic, and sociocentric) and using longitudinal data in multilevel models. This  proposed project will allow for a practical application of the substantive knowledge and analytical skills acquired from the K02 training activities and will ultimately culminate in the development of forthcoming investigator initiated NIDA grant applications. Specifically, these findings will be used as a foundation for future HIV social networks based intervention to increase special populations' use of preventative health care and subsequently reduce the need for expensive medical services, as well as to decrease HIV risk behaviors including drug use, unprotected sex, and recidivism.          "
1 K23 AI106406-01,"     DESCRIPTION (provided by applicant): With 160 million inhabitants, Nigeria is the most populous African nation, and home to the second largest number of people living with HIV/AIDS in the world (3.5 million). In Nigeria and other resource-limited countries (RLS), loss to follow-u (LTFU) poses a major challenge to the successful provision of chronic HIV care. One in four patients are lost-to-follow-up one year after initiating antiretroviral therapy (ART), resulting in  loss of over half of the life expectancy gains provided by ART. While some patients are completely lost from HIV care, a lesser-studied group, approximately one in three, briefly interrupt but return to care. Our previous work in South Africa suggests that unplanned care interruptions portend poor patient outcomes. Many studies have characterized patient-level predictors of LTFU, but this knowledge has not enabled service providers to adequately improve patient retention. In addition, few studies have systematically assessed whether health system-level characteristics, which vary widely across treatment programs, predict LTFU and unplanned care interruption. Missing from the assessment of both patient and health system-level predictors of LTFU is an assessment of how these factors inform patient decisions to remain in HIV care, a concept known as ""decisional conflict"". My goal in this proposed K23 award is to utilize a novel framework incorporating health system and patient-level predictors of LTFU and unplanned care interruption, with determinants of patient decisional conflict. This will inform development of a pilot intervention to improve patient retention in HIV care in Nigeria. To accomplish this goal, I will study the AIDS Prevention Initiative Nigeria's (APIN) network in 32 comprehensive HIV treatment centers in 9 of Nigeria's 36 states. I will first investigate health system factors predictive of LTFU and unplanned care interruption by surveying clinic directors on a range of health system services available to their patients, and assessing outcomes of 1,500 patients over one year. I will then establish a cohort of 752 ART-eligible adults to determine the relationship of patient risk factors related to decisional conflict (disease severity stigma, resource deprivation and competing needs) about adhering to chronic HIV care, and the association between decisional conflict and both LTFU and unplanned care interruption one year after ART initiation. Finally, I will build on these findings to develop a pilot intervention n HIV-infected, ART-eligible patients based on a home-based HIV care construct to ameliorate decisional conflict by addressing both health system processes and patient obstacles to HIV care. The research proposed in this K23 award will build on my previous training in epidemiology and biostatistics, allow me to receive further training in quality improvement theory and methodology as well as technical expertise in large program evaluation and intervention design, and will ideally position me to launch my career as an investigator in HIV outcomes and implementation science in RLS.           "
1 K23 AI108335-01,"     DESCRIPTION (provided by applicant): This proposal outlines a comprehensive career development plan for the PI consisting of advanced coursework and hands-on laboratory based training in immunology, multidisciplinary mentoring, and practical experience via the completion of the proposed research project. With the K23 Career Development Award, Dr. Kelley will develop the skills necessary to attain her goal of an independently funded HIV translational research career with a focus on biomedical HIV prevention interventions and HIV transmission. Dr. Kelley's ultimate goal is to one day make important contributions to the science of HIV prevention, including optimizing biomedical prevention interventions and vaccine development, for populations at high risk of infection. In order to attain her training goals, Dr. Kelley will b co-mentored during the K23 award period by an immunologist and HIV vaccinologist, Dr. Rama Amara, and an epidemiologist with expertise in HIV prevention for MSM, Dr. Patrick Sullivan. She will emerge from this award period skilled in mucosal immunology, which in combination with her previous extensive experience in clinical HIV medicine, epidemiology, and clinical/translational research, will position Dr. Kelley well to pursue an independently funded research career and one day be a leader in the field of biomedical HIV prevention interventions. Men who have sex with men (MSM) continue to have the highest risk for HIV infection in the US, accounting for 63% of new infections in 2010, underscoring the urgent need for effective prevention interventions in this population. Recent advances in biomedical prevention strategies including pre-exposure prophylaxis (PrEP), vaccines, and microbicides, have energized the field around further development and implementation of these interventions for key populations at higher risk. However, one potential barrier to the effectiveness of these interventions in MSM is the relative ease of HIV transmission across the rectal mucosa, where approximately 70% of infections occur among MSM, as compared to vaginal or penile transmission. In addition, very little is known about how unprotected receptive anal intercourse (URAI) may modify the rectal mucosa and mucosal HIV target cell populations. We hypothesize that sexually active HIV-negative MSM at risk for HIV infection who engage in URAI will have evidence of (1) reduced mucosal integrity, (2) more mucosal inflammation, and (3) greater HIV target cell availability in the rectal mucosa as compared to men who do not engage in anal intercourse. To test these hypotheses, MSM who engage in URAI and controls will be recruited into a longitudinal study with peripheral blood and rectal mucosal biopsy sampling. First, in a cross-sectional study, we will explore global gene expression differences between MSM and controls in the rectal mucosa with particular attention to gene expression of the epithelial cell junction complex, pro-inflammatory cytokines, and cell proliferation/apoptosis pathways. Next, based on the gene expression analyses, we will choose differentially expressed biomarkers and examine longitudinal differences between MSM and controls in the rectal mucosa epithelial cell layer with quantitative immunohistochemistry. Finally, differences in the CD4+ and CD8+ T cell populations in the rectal mucosa with respect to expression of the HIV co-receptor, CCR5, memory phenotypes, and activation status will be examined for MSM and controls. Advancing knowledge of how URAI affects the rectal mucosa will provide critical information in two areas. First, it may help to elucidate the differential efficacy of current and future biomedical preventin interventions specifically for MSM populations at high risk. Second, it may suggest other adjunctive therapies to improve efficacy of biomedical prevention interventions. For example, if MSM who engage in URAI exhibit greater inflammation and/or reduced rectal mucosal integrity, an adjunct"
1 R01 AI110369-01,"     DESCRIPTION (provided by applicant): Medical male circumcision (MMC) reduces the risk of heterosexual HIV acquisition in African men by 60%. In both our MMC trial in Kenya and the Ugandan MMC trial, circumcised men had lower prevalence and amount of penile anaerobic bacteria, several species of which are associated with Bacterial vaginosis (BV). The benefit is transferred to female sex partners of circumcised men, who had a 40-60% reduced risk of BV. MMC reduced genital ulcer disease (GUD) by 37-52%, and reduced GUD in female sex partners of circumcised men by 32%. Among men in our trial in Kenya, Fusobacteria and Sneathia had 6-fold greater odds of recovery from non-herpetic GUD compared to herpetic GUD. These two BV-related anaerobes are more common among uncircumcised men, and cause oral ulcers and periodontal disease. Their reduction may explain the reduction in non-herpetic GUD in circumcised men and their female sex partners. Cuts, abrasions, scratches, and bleeding of the vaginal or penile skin occur in 30-50% of men and women in our studies in Kenya, and are reduced by 40-60% among circumcised men and their female sex partners. Penile anaerobic bacteria are a common link between MMC and reductions in BV and GUD, and may also explain the reduced genital epithelial trauma among circumcised men and their sex partners. We propose to identify under what conditions the penile microbiome leads to BV, GUD, and genital epithelial trauma in men and their female sex partners. Within a prospective cohort of 204 heterosexual couples, we will measure the penile and vaginal microbiome four times over a one year period using pyrotag sequencing of the 16S rRNA gene. We will (Aim 1) determine how the penile microbiome leads to BV, GUD, and genital epithelial trauma, and factors that influence these associations. We will (Aim 2) define factors causing variation in the penile microbiome over time and across men. We will (Aim 3) map specific penile and vaginal bacteria to increased genital inflammatory cytokine levels, and elucidate the link between inflammatory cytokines and genital epithelial trauma. We need to determine how MMC reduces these co-factors for HIV infection to achieve benefits among uncircumcised men and to augment the protective effect of MMC. Pharmacologic interventions to improve penile microbiome health may include systemic or topical antimicrobials, or microbicides incorporating cytokine modulators. We need to identify specific bacteria to determine appropriate classes of antimicrobials, and whether the extent or type of inflammation induced can be modified. If specific behaviors - such as sex during a woman's menstruation or genital hygiene - are associated with types or amounts of harmful penile bacteria, then behavioral interventions will be tested. The potential benefits of interventions stemming from this investigation are: (1) reduced HIV acquisition and transmission through reduction of BV, GUD, and genital epithelial trauma as co-factors for infection, and (2) improved pregnancy outcomes and genitourinary health.          "
1 R01 DA031581-01A1,"     DESCRIPTION (provided by applicant): The Caribbean region has the second highest prevalence rates of HIV in the world following sub-Saharan Africa and is one of the region's most affected by illicit drug use and drug trafficking. Focusing on men's changing work, migration, and sexual and drug use behavior in the Dominican Republic, the proposed mixed- methods collaborative study examines how HIV risk and drug use among migrant men are related to (1) patterns of migration and (2) the social environments of tourism areas. We relate contemporary demographic changes to HIV and drug use practices through the notion of tourism ecologies - geographically constrained areas in which five ecological features (social isolation; social stigma; business norms; touristic escapism; and drug and alcohol availability) are hypothesized to contribute to high risk behaviors. Our research relies fundamentally on a long-standing multisectoral Community Advisory Board involving private tourism representatives, government, public health officials, and civil society. Data collection consists o: (1) semi- structured interviews with 36 systematically selected male migrant workers in two coastal tourism areas (two interviews per subject = 72 sessions); (2) ethnographic mapping and spatial analysis using Arc-GIS in two tourism areas; (3) a cross-sectional survey with 400 male migrant workers in two research sites; and (4) the implementation of a pilot intervention with 40 migrant male tourism workers. This study contributes to public health knowledge and health promotion in three key ways. First, it identifies the factors in tourism areas that most contribute  to HIV risk and drug use, contributing to the development and piloting of an evidence-based intervention. Second, it draws on an extensive literature to systematically analyze the health effects of tourism environments in high-risk settings for HIV and drug use. Finally, it incorporate a participatory process to research that will strengthen local relevance, research translation, and  the impact on health policies and programs.          "
1 R01 DA034527-01,"     DESCRIPTION (provided by applicant): There is an urgent public need to develop effective pharmacotherapies for methamphetamine (meth) dependence. There are up to 57 million amphetamine users worldwide.1 Use of meth (rapidly metabolized to amphetamine) is up to 20 times more prevalent among men who have sex with men (MSM) than in the general U.S. population, and is a major contributor to the HIV epidemic.2-4 Meth use is independently associated with high-risk sexual behavior5-9 and HIV seroconversion.10-12 Effective meth treatments therefore will not only reduce meth use, they could also be important HIV prevention interventions by reducing meth-driven sexual risk.  There are no FDA-approved pharmacologic treatments for meth dependence, a major gap in the field, because behavioral interventions alone have limited efficacy and would likely benefit from adjunctive pharmacologic treatments.13,14 In a recent double-blind, randomized controlled trial of modest size (n=60) and limited duration (12 weeks), we discovered that compared with placebo, oral mirtazapine, an antidepressant with serotonergic and dopaminergic properties, significantly reduced meth use as determined by reduction in urine positivity in the treatment arm (RR 0.57, 95% CI 0.35-0.93, p=.02).15 Sexual risk behaviors also declined significantly in the treatment arm compared to placebo. Mirtazapine decreased meth use despite low adherence: by medical event monitoring system (MEMS) caps, only 48.5% of daily doses were taken. All participants received a behavioral platform of weekly substance use counseling and monthly, brief clinician- delivered adherence counseling.  We propose expanding upon these exciting results by determining mirtazapine's efficacy at both 12 and 24 weeks with daily adherence reminders added to the above trial's behavioral platform, and determining if efficacy is sustained up to 12 weeks after drug discontinuation. A sample size of 120 will ensure greater precision of results than the original trial. The primary specific aims of this study are: (1) To determine the efficacy of mirtazapine daily vs. placebo in reducing meth use and HIV sexual risk behaviors among actively- using meth-dependent MSM from 0-12 weeks of treatment. Participants in both arms will receive the behavioral platform of in-person weekly substance use and monthly brief adherence counseling, augmented by daily text messaging adherence reminders. (2) To determine if the efficacy of mirtazapine vs. placebo is sustained from 12-24 weeks on treatment, with both arms receiving the behavioral platform. (3) To determine if the efficacy of mirtazapine vs. placebo is sustained from 24-36 weeks, after discontinuation of medication or placebo and the behavioral platform at 24 weeks.          "
1 R01 DA034538-01A1,"     DESCRIPTION: Cross-sectional studies have identified that court-involved, non-incarcerated (CINI) juveniles exhibit similar substance use and HIV/STI risk behavior rates as those detained or incarcerated. Yet, among first-time offending, CINI juveniles, there is a gap in our knowledge about who might develop drug use problems, engage in HIV/STI risk behaviors, have psychiatric difficulties and/or recidivate and what risk and protective factors may be related to their outcomes. The objective of the proposed research is therefore to investigate 24 month trajectories of drug use, HIV/STI risk behavior, psychiatric symptoms, and recidivism from the point of first juvenile court contact among a cohort of 400 first-time offending, CINI juvenile offenders. Specifically, we seek to characterize the two-year developmental course and co-occurrence of drug use, HIV/STI risk, psychiatric symptoms and recidivism in this population and to identify the individual, family and extrafamilial- level risk and protective factors associaed with these outcomes. First-time offending juveniles, ages 13-17, and a caregiver (N= 40 dyads for Phase I pilot study; N=400 for Phase II survey study) will be recruited from the Rhode Island Family Court, Juvenile Intake Department to participate in computerized survey assessments. In Phase I (first eight months of Year 1), 40 juveniles and a caregiver will be randomly sampled to complete the computerized survey measure once (at baseline, i.e., time of first contact with the juvenile court) to allow for pilot testing of sampling methodology and to provide quantitative and qualitative feedback related to survey development, administration and implementation. In Phase II (last quarter of Year 1 through Year 4), 400 juvenile/caregiver dyads (N=800 total) will be recruited (using a systematic disproportionate stratified sampling approach) at baseline and then re-assessed at 4, 8, 12, 16, 20 and 24 months subsequent to the juvenile's first court contact. Biological specimens for juvenile drug use and sexually transmitted infections (STIs) will also be collected at each assessment. Baseline and follow-up data will be used to construct individual and latent class growth analyses to characterize longitudinal trajectories of CINI juvenile's drug use, HIV/STI risk behaviors, psychiatric symptoms, and recidivism.          "
1 R01 DA035146-01,"     DESCRIPTION (provided by applicant): Currently, an estimated 4.8% of the U.S. population reports past-year nonmedical use of prescription opioids (NMU-POs), an increase of over 40% from 10 years ago. Among young adults 18-25 years old, the prevalence is markedly higher (11.1%). Young NMU-POs are often naive to the serious risks associated with such use, tending to view prescription drugs as relatively safe in comparison to illicit street drugs. Although the majority of NMU-POs begin ingesting POs orally, emerging research demonstrates that a significant minority may transition to heroin use and/or injection drug use (IDU), often within 2-3  years of NMU-PO initiation. This suggests that NMU-PO may function as a new pathway into heroin use and dependence and IDU among youth. IDU and heroin use is associated with significant negative health outcomes, increased sexual risk behavior and increased susceptibility to route-specific infections. These risks are exacerbated by the fact that harm reduction services aimed at preventing HIV among IDUs typically serve older heroin injectors who have been found to differ in age, race/ethnicity and other characteristics from the emerging group of young NMU-POs. The striking increases in NMU-PO throughout the U.S. are thus alarming from a public health perspective, and may lead to increases in HCV and HIV prevalence among groups of NMU-POs. However, research on drug-use trajectories, drug and sexual risk behaviors and, most notably, HIV, HCV and STI prevalence rates, in NMU-PO populations remains scarce. Although very little research to date has examined the sexual risk behaviors of NMU-POs, the body of research on young urban drug users, as well as our team's pilot study of 18-29 year-old NMU-POs, suggests that high levels of sexual risk-taking may be common among NMU-PO young adults. The proposed mixed-methods study will assess the drug and sex-related HIV/HCV/STI risk associated with NMU-PO among young adults. Specifically, we will: characterize the drug-use patterns and sexual behaviors of a representative RDS-recruited sample of 600 NMU-POs (ages 18-29) in the New York City area; determine the proportion of this population that engages in IDU and/or heroin use; and identify individual, network and socio-structural factors that may predispose some NMU-PO young adults to engage in IDU and/or the use of heroin. In addition, key objectives of this research will  be to systematically document the HIV/HCV/Chlamydia and Gonorrhea risk and preventive behaviors, knowledge, testing practices and prevalence rates of NMU-PO young adults. Foundational research that elucidates drug- and sex-related risk behaviors and HIV, HCV and other STI prevalence rates among this growing group of young NMU-POs is necessary for the development of disease prevention messages and interventions tailored to their specific characteristics, needs and drug-use and sexual practices. Furthermore, this research will help identify young NMU-POs who are likely to transition to heroin use and/or IDU, enabling interventions designed to prevent or delay these behaviors to be targeted to groups of youth who are most at-risk.          "
1 R01 DA035183-01,"     DESCRIPTION (provided by applicant): Existing studies have important methodological limitations that have hindered our ability to develop a useful guideline for effective applications  of alternative measurements for daily patterns of drug use and related risk behaviors in a variety of research and clinical settings. The long-term goal of this project is to extract crucial information from daily process data of health risk behaviors to inform prevention and intervention. The objective in this particular application is to develop cost-effective measurement  and cutting-edge methodology to collect and analyze daily process data. To accomplish this objective, three specific aims will be pursued:1) Develop cutting-edge statistical methodology and free software to address the missing data issue of prospective measurements including the interactive voice response (IVR) system and text-messaging (TM) and to examine reactivity and validity based on daily patterns of health risk behaviors (drug/alcohol use, violence, and HIV risk  behaviors); 2) Conduct an experimental study using a high risk sample with a novel design to evaluate compliance, reactivity and validity under different measurements and assessment schedules; and 3) Analyze the 9 waves of data collected through the proposed project and a prior study to build developmental models for at risk youth in order to inform prevention and intervention. The study design is innovative because the methodology development (Aim 1), experimental study (Aim 2), and statistical modeling (Aim 3) are all built upon prospective data from a high risk sample during the critical developmental period for drug use and related risk behaviors (61% African-American, 100% drug users, 83% involving in multiple HIV risk behaviors). The statistical methodology is innovative because we build a bridge between the statistical science and substance abuse field by introducing and extending new statistical concepts and techniques to evaluate psychometric properties of measurements for daily patterns of drug use and related risk behaviors. The proposed research is significant because this is the first study that compares the IVR, TM and the most commonly used retrospective measurement, the timeline follow back (TLFB), for measuring daily patterns of multiple risk behaviors in terms of compliance, reactivity, and validity. The finding of this study can inform prevention scientists and clinicians about effective applications of alternative measurements to assess risk for long-term health problems, develop screening protocols, design intervention facilitating behavioral changes, and evaluate intervention effects longitudinally.          "
