YEAR,PROJECT_NUMBER_BASE,APPLICATION_ID,ACTIVITY_CODE,MECHANISM,PROJECT_TITLE,INVESTIGATOR,CONG_DISTRICT,LOCATION,INSTITUTION,PROJECT_TYPE,TOTAL_SIC_DOLLARS,TOTAL_SPC_DOLLARS,TOTAL_INTERNATIONAL_DOLLARS,OBLIGATED_DOLLARS,AIDS_DOLLARS,AIDS_PERCENT,AWARD_COUNT,PROJECT_COUNT,APPL_ID,I2_PROJECT_NUM,I2_SUBPROJECT_ID,FUT_YRS,PROJECT_PERIOD_START_DATE,PROJECT_PERIOD_END_DATE,APPL_PERIOD_START_DATE,APPL_PERIOD_END_DATE,EXPIRE_FY,SUB_PROJECT_FLAG,PROJECT_FLAG,I2_TOTAL_OBLIGATION,STUDY_SECTION,PERCENTILE,PRIORITY_SCORE
2013,1 L30 DA0TAP01-13-0001                  ,,L30                                     ,CON                                     ,No Project Title                                                                                                                                                                                                                                               ,No Investigator                                                                                                                                                                                                                                                ,No District                                                                                                                                                                                                                                                    ,No Location                                                                                                                                                                                                                                                    ,No Institution                                                                                                                                                                                                                                                 ,Project Type 1                                                                                                                                                                                                                                                 ,,37500,,37500,37500,,,1,,                           ,    ,,,,,,,,,,    ,,
2013,1 L30 DA0TAP02-13-0001                  ,,L30                                     ,CON                                     ,No Project Title                                                                                                                                                                                                                                               ,No Investigator                                                                                                                                                                                                                                                ,No District                                                                                                                                                                                                                                                    ,No Location                                                                                                                                                                                                                                                    ,No Institution                                                                                                                                                                                                                                                 ,Project Type 1                                                                                                                                                                                                                                                 ,,37500,,37500,37500,,,1,,                           ,    ,,,,,,,,,,    ,,
2013,1 L30 DA0TAP03-13-0001                  ,,L30                                     ,CON                                     ,No Project Title                                                                                                                                                                                                                                               ,No Investigator                                                                                                                                                                                                                                                ,No District                                                                                                                                                                                                                                                    ,No Location                                                                                                                                                                                                                                                    ,No Institution                                                                                                                                                                                                                                                 ,Project Type 1                                                                                                                                                                                                                                                 ,,37500,,37500,37500,,,1,,                           ,    ,,,,,,,,,,    ,,
2013,1 L30 DA0TAP04-13-0001                  ,,L30                                     ,CON                                     ,No Project Title                                                                                                                                                                                                                                               ,No Investigator                                                                                                                                                                                                                                                ,No District                                                                                                                                                                                                                                                    ,No Location                                                                                                                                                                                                                                                    ,No Institution                                                                                                                                                                                                                                                 ,Project Type 1                                                                                                                                                                                                                                                 ,,37500,,37500,37500,,,1,,                           ,    ,,,,,,,,,,    ,,
2013,1 L30 DA0TAP05-13-0001                  ,,L30                                     ,CON                                     ,No Project Title                                                                                                                                                                                                                                               ,No Investigator                                                                                                                                                                                                                                                ,No District                                                                                                                                                                                                                                                    ,No Location                                                                                                                                                                                                                                                    ,No Institution                                                                                                                                                                                                                                                 ,Project Type 1                                                                                                                                                                                                                                                 ,,37500,,37500,37500,,,1,,                           ,    ,,,,,,,,,,    ,,
2013,1 L30 DA0TAP06-13-0001                  ,,L30                                     ,CON                                     ,No Project Title                                                                                                                                                                                                                                               ,No Investigator                                                                                                                                                                                                                                                ,No District                                                                                                                                                                                                                                                    ,No Location                                                                                                                                                                                                                                                    ,No Institution                                                                                                                                                                                                                                                 ,Project Type 1                                                                                                                                                                                                                                                 ,,37500,,37500,37500,,,1,,                           ,    ,,,,,,,,,,    ,,
2013,1 L30 DA0TAP07-13-0001                  ,,L30                                     ,CON                                     ,No Project Title                                                                                                                                                                                                                                               ,No Investigator                                                                                                                                                                                                                                                ,No District                                                                                                                                                                                                                                                    ,No Location                                                                                                                                                                                                                                                    ,No Institution                                                                                                                                                                                                                                                 ,Project Type 1                                                                                                                                                                                                                                                 ,,37500,,37500,37500,,,1,,                           ,    ,,,,,,,,,,    ,,
2013,1 L30 DA0TAP08-13-0001                  ,,L30                                     ,CON                                     ,No Project Title                                                                                                                                                                                                                                               ,No Investigator                                                                                                                                                                                                                                                ,No District                                                                                                                                                                                                                                                    ,No Location                                                                                                                                                                                                                                                    ,No Institution                                                                                                                                                                                                                                                 ,Project Type 1                                                                                                                                                                                                                                                 ,,37500,,37500,37500,,,1,,                           ,    ,,,,,,,,,,    ,,
2013,1 L30 MHTAP707-01-0001                  ,,L30                                     ,CON                                     ,No Project Title                                                                                                                                                                                                                                               ,No Investigator                                                                                                                                                                                                                                                ,No District                                                                                                                                                                                                                                                    ,No Location                                                                                                                                                                                                                                                    ,No Institution                                                                                                                                                                                                                                                 ,Project Type 1                                                                                                                                                                                                                                                 ,,25561,,25561,25561,,,1,,                           ,    ,,,,,,,,,,    ,,
2013,1 L30 MHTAP745-01-0001                  ,,L30                                     ,CON                                     ,No Project Title                                                                                                                                                                                                                                               ,No Investigator                                                                                                                                                                                                                                                ,No District                                                                                                                                                                                                                                                    ,No Location                                                                                                                                                                                                                                                    ,No Institution                                                                                                                                                                                                                                                 ,Project Type 1                                                                                                                                                                                                                                                 ,,64421,,64421,64421,,,1,,                           ,    ,,,,,,,,,,    ,,
